China;1930;1962;2128;2227;2444;2619;2748;2931;3045;3022;2982;3051.3152;3227.7441;3506.48;3730.164;3999.7292;4219.644;4310.828;4309.847;4466.7363;4730.3545;4995.1445;5343.1123;5649.4634;6067.5913;6626.592;7271.0356;7895.713;8190.1123;8734.041;9658.419;10221;10946.834;11731.295;12515.198;13325.432;14138.955;15030.447;15977.008;16879.54;17225.969;18666.605
India;1495;1557;1570;1663;1690;1720;1755;1793;1938;2024;2087;2062.3103;2115.2573;2176.4277;2254.899;2355.9631;2475.568;2514.0217;2611.7815;2707.7407;2753.0854;2837.8555;2870.9236;3035.9226;3212.511;3396.6487;3629.4111;3870.699;4030.6543;4270.708;4525.7456;4768;4982.083;5224.1445;5524.1147;5869.8467;6326.0645;6638.7275;7046.4365;7293.9897;6730.547;7315.1216
