Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Australia;155.1589087606;178.4313312353;182.0429265452;196.7480993588;212.0233790494;229.1574736783;240.0138407453;261.0869308464;283.1871117031;299.8772585068;304.3950032539;314.1676503894;334.8390645285;355.9498573982;381.6474527810;404.1029922437;424.4729040145;450.9627009373;478.6916527943;510.9479933691;539.1455220797;569.8079960545;600.9084151267;639.1293613829;678.0935196580;719.9775514027;776.4131028889;826.9279839170;852.8593544185;904.2091577825;943.4882161517;993.2499160522;998.2662523880;1105.4311804460;1118.5850363356;1125.7011483633;1213.2335454722;1248.3667252545;1326.1956382642;1360.0095493791;1459.5832959951;1646.9607885481
Austria;79.4219965139;86.8115756817;94.0289016538;100.6168705809;104.3002831927;110.2872696174;115.0976055865;119.5444459439;127.8403058916;138.0161494905;149.4047501956;159.7731060991;166.8353105269;171.6896084012;179.5681691365;188.2248426959;195.4099618075;202.5637197387;212.7795976928;220.6399389678;235.3776993452;238.9491414872;251.9847843147;261.0715067158;276.0063217757;288.0867221311;311.4129860750;327.1705948295;343.8129763761;341.3829816822;351.2809977437;373.0314770379;391.6351762133;406.3702445279;417.0595186670;430.9759236834;460.2826473434;476.5905878083;503.3614170059;537.8977982645;522.6245944149;567.9872839132
Belgium;101.2830106347;110.5569238121;118.0858656947;123.0937013532;130.6800488263;137.0395641885;142.3476166056;149.2322693300;161.7935050055;173.9693054437;186.1439817625;195.9664751801;203.5003055860;206.3201405320;217.5260175493;227.3835629815;230.9289430119;241.5794489305;248.6345061430;260.1687813235;284.8627325016;296.2181325267;312.9004753337;320.9812676196;334.1432835722;347.6584389882;371.9101923257;391.0209922389;405.7294299544;407.5504841275;434.0059769182;451.9326253260;469.7203355261;487.3437964703;503.6196226778;520.8778067309;550.6775655162;573.7885280183;600.2699259308;650.5235902338;643.0572505285;719.7714974708
Canada;286.8686786205;324.8138020959;333.8893881581;355.9929127942;390.6286044534;422.0728981743;439.8087020303;469.0405223217;507.0004229745;539.0842221899;560.1848770780;567.0478642978;585.1916203052;615.0028474168;656.3671124748;688.1836282300;712.1309584909;755.4160331656;793.6820502811;846.4213434553;901.0032900060;937.7930444513;971.0090882344;1023.6865488067;1083.6152298162;1171.3401624978;1241.6189111949;1301.5938524152;1342.3966134697;1307.0006582606;1363.5789745827;1430.8071253013;1468.0949650207;1554.1227451258;1621.3967087911;1594.8508416668;1678.0933960042;1765.7631539263;1852.9877546210;1899.6949913566;1847.8387647676;2133.0847218731
Colombia;61.0950462985;68.5282850903;73.5823947066;77.7728169508;83.0080154378;88.2208924547;95.1897852556;103.0098687117;111.4587593496;119.9411392043;165.5181904255;175.8884066440;187.6747932241;203.1258280061;219.0975737756;235.6044052496;243.7282789891;255.8513352021;260.2944691274;250.2603124289;262.5056132087;272.9234864735;284.1171145425;301.0776822402;325.6469831228;351.6659532039;386.8666347675;424.0942820459;446.4201844342;454.4017154576;480.5320354318;524.5965460501;548.2513612301;585.8883163279;618.7927319352;624.1194651890;665.3983904950;693.1170749566;747.1036745346;807.5905958667;785.7375643224;906.0337170873
Denmark;50.6138898737;55.0339955547;60.5871917177;64.5947561255;69.7133379917;74.7974036116;80.0458218250;82.2337650018;85.1229164471;89.0307642672;93.7260664827;98.2460282031;102.4514666017;104.8911220447;112.8437134609;118.6980134468;124.9089029383;131.7220422899;136.9224555863;141.8462994456;153.0428133834;157.7947928564;164.7203910430;166.1487635606;178.0229925701;185.0744657293;202.9959769347;213.0783389566;226.7674941205;222.7476584748;238.5260482622;247.3522373287;250.5245986457;262.3681203276;270.3306071547;278.7483647965;297.7190600916;319.1301653663;333.0353551784;353.4439589744;364.6333341241;409.2622770445
Finland;44.0063340356;48.8041397921;53.4299824958;57.2531311844;61.2392103364;65.4179140692;68.5743480116;72.7820937047;79.2805183273;86.5798161166;90.4228316709;87.9781341630;87.0184404004;88.4913585207;93.9628708939;99.9785529371;102.9057378572;111.9994119311;121.5029061714;127.9347855082;138.6608751742;144.2468769601;148.7638022682;151.4542353749;163.1327530618;168.1467532938;181.4487250436;200.1618332903;212.9807419034;202.7231173382;208.9011319685;220.4711707810;221.2856358955;225.6799832632;228.0586361034;232.8676016552;246.9284932555;262.0265631653;273.4559934949;290.2697553690;296.7640007492;320.2091189457
France;533.8607178126;590.6224689237;642.8243693255;676.2914355573;711.2965380156;745.6987259971;778.4964039740;818.1846300087;887.2220227651;962.0547907465;1027.2505292947;1073.1212052844;1115.1307033680;1134.3864423376;1185.9351800842;1236.3101870357;1275.8060050426;1333.5958635569;1405.9081234565;1470.5238855502;1589.4474257164;1687.2167387599;1762.9259348009;1753.7021438131;1822.2851144074;1926.8803852664;2065.6813045248;2184.8147830121;2259.2558436391;2243.8487848086;2334.2732681055;2446.4745436312;2474.0052872642;2608.5235042415;2662.0328725697;2718.4951265137;2864.1056310392;2983.0106727994;3125.3798603726;3452.9642283538;3344.3856263661;3648.0777798121
Germany;814.8465320561;896.6690488778;948.3084983574;1000.9470575809;1066.3338895242;1125.6647381210;1174.6008096222;1220.5234136947;1310.4201734499;1414.8561740044;1544.9528724358;1678.7886097680;1750.0668485004;1774.0486205154;1855.2715421741;1923.4235522405;1971.6998079787;2015.4419262384;2079.4773879256;2158.5158409477;2236.3574173402;2336.8369462744;2406.9009076590;2468.5809982461;2585.6250331107;2622.0398015584;2813.9891955736;2985.9175774530;3103.9582473375;3015.2127830346;3184.8797547990;3415.0199661823;3487.2344482959;3628.5593365020;3807.1145207951;3889.0818956241;4165.1699046487;4386.7291879544;4576.0565322090;4840.3117737533;4815.4449693452;5153.1370902431
Greece;84.1033445388;90.6309477658;95.1404151761;97.8004637195;103.3661082368;109.3110720340;112.0897486936;112.2669493913;121.2107353686;130.7491938435;135.6435677027;144.5778649149;148.9077731629;149.9983950105;156.2655264444;162.8921989024;171.2712174713;182.8699527414;193.3301919881;198.7119389944;210.9150006818;227.6809284180;246.5592810367;261.1580989755;278.9309432585;281.0283962740;314.6199449370;324.0177720735;341.8178292435;337.1897340260;310.3774850987;285.0795606695;275.1436830097;284.9490763927;290.0113792613;289.5706436064;296.4666135564;307.6360128234;317.8814806255;338.9222040808;311.2033445722;348.9764555183
