Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ecuador;8135845;8352602;8572607;8795873;9022979;9254311;9490096;9729376;9969788;10210185;10449837;10686279;10914222;11132829;11347652;11561683;11775221;11987838;12199693;12412046;12626507;12845521;13070609;13301184;13534593;13770012;14009061;14251835;14496797;14742766;14989585;15237728;15483883;15722989;15957994;16195902;16439585;16696944;17015672;17343740;17588595;17797737
Egypt;43748556;44899573;46088647;47353665;48676443;50035843;51424313;52841319;54298446;55765843;57214630;58611032;59989142;61382200;62775847;64166908;65565195;66993728;68446011;69907887;71371371;72854261;74393759;75963322;77522427;79075310;80629670;82218755;83844783;85501064;87252413;89200054;91240376;93377890;95592324;97723799;99784030;101789386;103740765;105618671;107465134;109262178
Finland;4779535;4799964;4826933;4855787;4881803;4902206;4918154;4932123;4946481;4964371;4986431;5013740;5041992;5066447;5088333;5107790;5124573;5139835;5153498;5165474;5176209;5188008;5200598;5213014;5228172;5246096;5266268;5288720;5313399;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5508214;5515525;5521606;5529543;5541017
France;55052582;55371044;55694106;55992656;56275701;56569195;56865193;57168409;57472651;57766282;58044701;58557577;58849943;59106166;59327585;59543659;59756533;59969944;60192790;60504420;60921384;61367388;61816234;62256970;62716306;63188395;63628261;64021737;64379696;64710879;65030575;65345233;65662240;66002289;66312067;66548272;66724104;66918020;67158348;67388001;67571107;67764304
Germany;78288576;78407907;78333366;78128282;77858685;77684873;77720436;77839920;78144619;78751283;79433029;80013896;80624598;81156363;81438348;81678051;81914831;82034771;82047195;82100243;82211508;82349925;82488495;82534176;82516260;82469422;82376451;82266372;82110097;81902307;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82657002;82905782;83092962;83160871;83196078
Greece;9642505;9729350;9789513;9846627;9895801;9934300;9967213;10000595;10036983;10089498;10196792;10319927;10399061;10460415;10512922;10562153;10608800;10661259;10720509;10761698;10805808;10862132;10902022;10928070;10955141;10987314;11020362;11048473;11077841;11107017;11121341;11104899;11045011;10965211;10892413;10820883;10775971;10754679;10732882;10721582;10698599;10569207
Guatemala;6890346;7071186;7262658;7462585;7669863;7884034;8104921;8332446;8566331;8805995;9050115;9296814;9544055;9790619;10037522;10286786;10536942;10788362;11046215;11311078;11589761;11871565;12147518;12415334;12682108;12948292;13213330;13477017;13739299;14000190;14259687;14521515;14781942;15043981;15306316;15567419;15827690;16087418;16346950;16604026;16858333;17109746
Iceland;228138;230755;233860;236977;239511;241405;243180;245859;249740;252852;254826;257797;261057;263725;266021;267468;268916;271128;274047;277381;281205;284968;287523;289521;292074;296734;303782;311566;317414;318499;318041;319014;320716;323764;327386;330815;335439;343400;352721;360563;366463;372520
India;696828385;712869298;729169466;745826546;762895156;780242084;797878993;815716125;833729681;852012673;870452165;888941756;907574049;926351297;945261958;964279129;983281218;1002335230;1021434576;1040500054;1059633675;1078970907;1098313039;1117415123;1136264583;1154638713;1172373788;1189691809;1206734806;1223640160;1240613620;1257621191;1274487215;1291132063;1307246509;1322866505;1338636340;1354195680;1369003306;1383112050;1396387127;1407563842
Iran;38520664;40476251;42500030;44027986;45628402;47266160;48913237;50541490;52111868;53644736;55793629;57990883;59372016;59755430;59985749;60794809;61598378;62480533;63461421;64474745;65544383;66674851;67327117;67954699;69061674;70182594;71275760;72319418;73318394;74322685;75373855;76342971;77324451;78458928;79961672;81790841;83306231;84505076;85617562;86564202;87290193;87923432
Iraq;13653369;14067260;14467682;14903737;15377032;15753856;16148221;16598019;16987346;17442590;17658381;17846378;18385673;19295818;20248073;20948858;21639332;22330770;23053488;23820734;24628858;25425663;26255343;27068823;27858948;28698684;28905607;28660887;29218381;30289040;31264875;32378061;33864447;35481800;36746488;37757813;38697943;39621162;40590700;41563520;42556984;43533592
Ireland;3412800;3453000;3485800;3510600;3532423;3538082;3539690;3540057;3524949;3511009;3513974;3534235;3558430;3576261;3590386;3608841;3637510;3674171;3712696;3754786;3805174;3866243;3931947;3996521;4070262;4159914;4273591;4398942;4489544;4535375;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4807388;4867316;4934340;4985382;5033164
Israel;3878000;3956000;4031000;4105000;4159000;4233000;4299000;4369000;4442000;4518000;4660000;4949000;5123000;5261000;5399000;5545000;5692000;5836000;5971000;6125000;6289000;6439000;6570000;6689700;6809000;6930100;7053700;7180100;7308800;7485600;7623600;7765800;7910500;8059500;8215700;8380100;8546000;8713300;8882800;9054000;9215100;9371400
Italy;56433883;56501675;56543548;56564074;56576718;56593071;56596155;56601931;56629288;56671781;56719240;56758521;56797087;56831821;56843400;56844303;56860281;56890372;56906744;56916317;56942108;56974100;57059007;57313203;57685327;57969484;58143979;58438310;58826731;59095365;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60536709;60421760;59729081;59438851;59133173
